INSEE_COM,NOM_COM,LIB_EPCI_SUB,A203,B101,B102,B201,B202,B203,C101,C102,C103,C104,C105,C201,C301,C302,C303,C304,C305,C701,C702,D101,D102,D103,D201,D401,D402,D403,F101,F102,F103,F104,F107,F109,F111,F112,F114,F117,F120,F121,F203,F303,F305,F307,F312,G102,G104
75101,Paris 1er Arrondissement,Paris,60,1,6,8,20,38,2,0,0,4,0,1,1,1,0,0,0,0,0,1,0,0,36,2,0,1,2,0,0,0,0,1,0,2,2,0,4,1,0,1,1,1,3,73,46
75102,Paris 2e Arrondissement,Paris,74,0,8,10,27,33,2,0,0,6,0,2,2,2,0,0,1,0,0,0,0,0,25,3,1,1,3,0,0,0,0,0,0,0,2,0,4,1,0,2,0,1,0,48,43
75103,Paris 3e Arrondissement,Paris,26,1,5,7,36,43,5,0,0,8,0,4,4,1,0,0,1,0,0,0,0,0,48,4,0,0,3,1,0,0,0,0,0,4,2,0,3,5,0,1,0,1,5,33,32
75104,Paris 4e Arrondissement,Paris,23,0,9,9,30,47,3,0,0,12,0,5,5,0,0,0,0,0,0,1,0,0,38,3,0,0,2,2,0,0,1,0,2,3,0,0,2,3,0,1,0,5,6,37,34
75105,Paris 5e Arrondissement,Paris,38,0,16,10,64,66,10,0,0,15,0,7,8,0,0,0,1,7,15,2,0,1,91,9,1,1,3,1,1,0,0,0,1,8,6,0,9,9,0,11,1,5,9,82,44
75106,Paris 6e Arrondissement,Paris,50,0,15,8,30,58,5,0,0,9,0,8,13,1,0,0,3,3,6,1,0,0,59,7,0,0,2,0,1,0,0,0,1,6,3,0,2,9,0,15,1,1,7,105,34
75107,Paris 7e Arrondissement,Paris,53,0,17,11,39,73,5,0,0,16,0,9,11,1,0,0,1,0,1,2,0,0,68,8,1,1,2,0,1,0,0,1,3,3,4,0,6,5,0,0,1,2,5,64,34
75108,Paris 8e Arrondissement,Paris,164,0,20,14,61,65,4,0,0,14,0,6,7,3,0,0,0,0,2,2,0,0,136,1,1,7,5,0,0,0,0,0,0,5,2,0,8,2,0,6,1,2,4,154,105
75109,Paris 9e Arrondissement,Paris,112,0,26,18,84,75,10,0,0,13,0,5,9,4,0,0,1,0,0,0,0,0,86,6,1,4,2,1,0,0,1,0,3,4,3,0,7,4,0,4,1,3,4,180,61
75110,Paris 10e Arrondissement,Paris,63,0,28,25,157,84,12,0,0,20,0,8,8,3,0,0,0,1,1,2,2,1,53,6,1,4,3,1,1,0,0,0,6,13,6,1,11,8,0,3,1,4,0,117,68
75111,Paris 11e Arrondissement,Paris,60,0,43,27,153,116,23,0,0,30,0,12,10,4,0,0,2,3,2,1,1,0,141,16,2,5,4,7,1,0,0,0,10,9,8,1,22,7,0,3,1,1,0,75,82
