INSEE_COM,NOM_COM,LIB_EPCI_SUB,P18_POP,P18_POP0002,P18_POP0305,P18_POP0610,P18_POP1117,P18_POP1824,P18_POP2539,P18_POP4054,P18_POP5564,P18_POP6579,P18_POP80P
75101,Paris 1er Arrondissement,Paris,16093,376.773995170309,319.484314185923,595.198854509482,880.298810914311,1653.71004932064,3992.10820660549,3498.2112730805,1825.94902121141,2165.70237783427,785.563097167664
75102,Paris 2e Arrondissement,Paris,21420,548.779015108388,510.801991337646,880.754411029606,1084.32159189871,2138.65008177458,7098.86350406916,4831.93038368319,2048.07745779204,1769.97274221038,507.848821096311
75103,Paris 3e Arrondissement,Paris,34020,834.314002487906,682.923603770554,1350.6871127577,1793.95432698145,3406.71306289748,10314.1201896969,7163.61596164007,3543.40948635819,3706.56835106161,1223.69390234817
75104,Paris 4e Arrondissement,Paris,28763,767.487738638126,729.178549749579,1119.61933260564,1484.42170591386,3162.17171964816,7531.12387768587,5794.0899826505,3341.8086019157,3565.01449899195,1268.08399220062
75105,Paris 5e Arrondissement,Paris,58379,1171.3351055338,1183.49329602656,2233.6764565538,3676.77779642912,9642.62056880545,12486.2140297207,9956.31284613548,6308.71835467225,8133.9033902632,3585.94815585965
75106,Paris 6e Arrondissement,Paris,40525,751.469113124405,744.825738822254,1308.5746975994,2334.63718470691,6232.88585782514,8052.04149773173,6898.15848290322,4481.61468081562,6445.4793324862,3275.31341398511
75107,Paris 7e Arrondissement,Paris,50196,1066.04287096774,1116.54331193494,1960.56094567005,3295.28660392631,5798.64789147707,10406.2598740745,9008.97977857684,5953.66077847471,7822.18410159207,3767.83384330576
75108,Paris 8e Arrondissement,Paris,36222,900.595769448779,979.604812921937,1828.93371386473,2852.76166096252,4088.05450305007,7818.04247080308,7522.42019540409,4052.19068118304,4363.19828303301,1816.19790932875
75109,Paris 9e Arrondissement,Paris,59835,1901.29132327286,1630.51652896073,2678.49228230634,3555.77749598342,5702.16838007485,18803.3500474123,11898.554093081,5821.82630423726,5645.66298169284,2197.36056297839
75110,Paris 10e Arrondissement,Paris,88557,2932.89511003709,2516.64203347292,4261.74147233961,5388.09446454708,7937.88553632021,26997.5915863263,18796.9903659138,8878.15208188148,8131.48639277988,2715.52095638156
