IRIS,COM,LIBIRIS,LIBCOM,LIB_EPCI_SUB,C18_POP15P_CS1,C18_POP15P_CS2,C18_POP15P_CS3,C18_POP15P_CS4,C18_POP15P_CS5,C18_POP15P_CS6,C18_POP15P_CS7,C18_POP15P_CS8,P18_POP1564,P18_POP1524,P18_POP2554,P18_POP5564,P18_ACT1564,P18_ACT1524,P18_ACT2554,P18_ACT5564,P18_CHOM1564,P18_CHOM1524,P18_CHOM2554,P18_CHOM5564,P18_ETUD1564,P18_RETR1564,P18_SAL15P,P18_SAL15P_CDD,P18_SAL15P_INTERIM,P18_SAL15P_EMPAID,P18_SAL15P_APPR,P18_NSAL15P_INDEP,P18_NSAL15P_EMPLOY,DEC_TP6019,DEC_Q119,DEC_MED19,DEC_Q319
751010101,75101,Saint-Germain l'Auxerrois 1,Paris 1er Arrondissement,Paris,0,21.7543091082783,204.083109955248,129.803787809642,129.833384597597,47.7076572649584,142.279007183344,115.275290550452,653.549015455131,122.176471435196,412.895461027019,118.477082992917,522.411965283543,51.6559520983687,382.072762804013,88.6832503811615,64.2860517183504,11.8402426490617,44.2523262312744,8.19348283801433,75.7769528822133,22.0716935495041,393.31826043032,64.6689298365422,0,0,19.2338433086125,41.5542720396385,34.1301575590784,,,,
751010102,75101,Saint-Germain l'Auxerrois 2,Paris 1er Arrondissement,Paris,0,15.9192340698595,36.2821086885653,8.84204026831947,15.216859886246,2.97176063556464,45.0273121357981,34.3491661548878,100.411333932146,18.7445114286752,69.8073668943915,11.8594556090791,68.2260655287467,2.97176063556464,53.3948492841029,11.8594556090791,8.84204026831947,0,8.84204026831947,0,23.2699864967052,0,43.6622168091978,5.87027963275483,0,0,0,14.6390782626999,13.0886690743576,,,,
751010103,75101,Saint-Germain l'Auxerrois 3,Paris 1er Arrondissement,Paris,0,14.7583215884189,64.336612734026,19.2762913648768,9.46649729262545,5.10645472756008,69.266744608103,36.7547318662734,144.938980664623,15.7917046981824,101.649516492802,27.4977594736384,106.059121887911,6.3025986751169,81.4009632689398,18.3555599438543,14.4552205779599,4.03321222316576,10.4220083547941,0,16.7483715689875,12.0407185269742,59.6931194204364,5.16790544914133,0,0,1.13469322597557,28.0097294472466,10.7861082618644,,,,
751010104,75101,Saint-Germain l'Auxerrois 4,Paris 1er Arrondissement,Paris,0,0,0,0,0,0,0,3.00000259805961,3.00000259805961,0,3.00000259805961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
751010105,75101,Tuileries,Paris 1er Arrondissement,Paris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
751010199,75101,Seine et Berges,Paris 1er Arrondissement,Paris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
751010201,75101,Les Halles 1,Paris 1er Arrondissement,Paris,0,72.0448967593045,609.167084473323,238.169908381678,215.96338532285,95.1287722885014,370.180705374791,355.539188878961,1571.14620206196,258.306840274838,1076.04950247838,236.78985930875,1208.11152294092,114.959859182068,944.605345081176,148.546318677678,151.211481399768,32.1661376845952,100.055112840487,18.9902308746856,170.016232609169,49.3108755137294,830.933593238427,141.659950222664,11.8066270525367,3.51602696059391,23.55902825211,158.768389759972,112.948581171238,16.9,18320,32590,54410
751010202,75101,Les Halles 2,Paris 1er Arrondissement,Paris,0,119.444957659487,606.347655202532,188.660104449056,116.737631256659,32.4392647648169,186.734402439537,198.93584588709,1226.06679629999,188.102580582476,873.882956194766,164.081259522752,1032.76680619333,96.7338858631445,805.828012170894,130.204908159289,93.1779598533865,13.7469166112346,71.7558358295537,7.67520741259818,97.233017041848,27.7835624988527,710.574367161574,84.2051520161386,5.86432232251662,2.72381494785686,48.2892078910337,136.837360651571,126.408899582774,,22950,41100,67760
751010203,75101,Les Halles 3,Paris 1er Arrondissement,Paris,0,135.3273663814,682.240616651813,300.480011880321,222.679203332367,81.5805256195226,424.537943652746,325.732563580108,1740.35080130399,334.339549803551,1173.29617395948,232.715077540955,1372.92977011647,134.215388923707,1095.80234534871,142.912035844053,129.147631406425,27.6614644129639,91.0938318746014,10.3923351188594,207.018914124291,67.4978343592306,984.120181256314,67.4199487470096,1.9901771288129,0,53.2738376407153,201.723961055077,115.553459873105,14.5,18920,35070,61930
751010204,75101,Les Halles 4,Paris 1er Arrondissement,Paris,0,79.2285922520528,576.757225019264,275.828138385529,214.234253008916,81.1706716993489,338.552961212745,390.430521604262,1628.91418646558,352.075328455022,990.218787030395,286.620070980165,1198.2728157698,118.062282960304,899.3139521989,180.896580610595,148.697059027073,32.5461825704413,99.0750304618604,17.0758459947714,235.62523359431,68.6042968974442,870.644684753717,119.273139218846,8.70688084208848,0,33.3728611436241,126.961572516169,81.0229143312779,14.5,20330,34500,56840
751010205,75101,Les Halles 5,Paris 1er Arrondissement,Paris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
751010206,75101,Les Halles 6,Paris 1er Arrondissement,Paris,0,44.4381790232108,193.715141124892,70.2874711866055,47.0223474330298,5.94352127112928,111.98899468756,67.660156839986,420.825676039892,40.1617770969601,320.814988279593,59.8489106633393,343.661580605617,14.7488333141591,288.400106194042,40.5126410974162,24.9534123201229,0,21.7895137026143,3.16389861750855,29.3262389668325,12.4634564880903,238.951472869474,29.6321219755087,0,0,5.91903578760286,63.2345480563871,34.2672267928837,,,,
751010301,75101,Palais Royal 1,Paris 1er Arrondissement,Paris,8.25045670770628,163.655176116484,795.258613898384,297.636552504494,262.702007932736,57.7162326486518,464.414024537678,396.7397620665,1868.53654207895,321.640545772049,1193.37370491971,353.52229138719,1491.11981293111,121.748771942762,1101.80855729342,267.562483694926,157.241084427066,20.2164611578996,113.021945269774,24.0026779993931,209.346806034915,27.2635366464613,1061.59567943599,73.177503836858,1.03069524890224,0,34.0844653342772,224.762660323658,153.88826379176,14,22090,40800,70670
751010302,75101,Palais Royal 2,Paris 1er Arrondissement,Paris,0,8.69555699157057,34.7979860335204,24.5150500791133,11.9936961440648,0,5.93127852936607,6.06241761469874,74.1899070624725,3.16389861750855,61.7996922127567,9.22631623220729,68.1274894477738,0,61.7996922127567,6.3277972350171,5.87027963275483,0,5.87027963275483,0,3.16389861750855,0,62.3914503500046,0,0,0,0,11.7405592655097,0,,,,
751010303,75101,Palais Royal 3,Paris 1er Arrondissement,Paris,0,26.852499321888,69.0790020586149,35.5358135716954,32.38415769595,2.00000173203974,58.3450022202246,68.2731782251017,225.416852871956,53.2595089710722,138.398050667136,33.7592932337475,166.116854000506,14.8343176942968,123.454521601828,27.8280147043815,15.1698375033366,2.97176063556464,12.1980768677719,0,35.4534306412107,5.93127852936607,86.7630825952538,5.87027963275483,0,0,5.94352127112928,49.3496162076192,20.7045973270516,,,,
751010401,75101,Place Vendìme 1,Paris 1er Arrondissement,Paris,0,89.698677358696,284.40479840074,90.9935580913744,121.133374193067,45.9461126602622,195.128589918693,194.105823511958,758.117901458663,154.279668923124,451.123846976281,152.714385559259,588.751534160047,46.5407185761767,430.802375002817,111.408440581054,54.2773567890721,4.5832097626004,49.6941470264717,0,105.480456149376,29.0614504985573,370.755770132411,39.6874610681495,4.73167837189799,0,2.2963349789758,133.317474992357,73.3565645838614,,26210,48800,87600
751010402,75101,Place Vendìme 2,Paris 1er Arrondissement,Paris,0,71.2965137601764,388.863717646147,181.464634272107,121.312334148311,19.0754263967094,230.496476586687,191.882670606222,938.48668576335,175.639997100719,624.00942995522,138.837258707411,780.653244786404,88.0216221239159,568.686613369702,123.945009292787,85.1936659577407,32.8405375108334,41.0405302351417,11.3125982117656,105.349062474655,8.21013437770836,529.9871924281,51.500097557763,0,0,24.9501211270054,90.9130111177379,105.772017759242,,23600,42140,77040
751020501,75102,Gaillon 1,Paris 2e Arrondissement,Paris,0,82.5883037201576,292.93589930847,136.49110359571,140.015857434739,60.5659143776945,105.692496762357,167.912171251405,869.636470759846,173.364847134801,552.524776235137,143.746847389908,706.767599205723,79.5376759349302,499.927112506927,127.302810763866,84.5496890195162,11.7822764678784,55.159813088726,17.6075994629119,88.0476260220997,9.49846060486577,454.856781724676,32.193115085796,0,0,46.1641508317969,91.3148087836315,87.7669371428862,,,,
751020502,75102,Gaillon 2,Paris 2e Arrondissement,Paris,0,17.3602196929185,86.3084305938852,29.5914970271637,34.1413761808511,17.4280386846449,24.7213244559378,20.9085665073418,200.751842307798,20.6090927677709,143.308819489024,36.8339300510027,179.843275800456,6.25341774832536,139.511255599382,34.0786024527484,16.5430034124659,1.04223629138756,15.5007671210783,0,14.3556750194456,0,126.392588027546,12.0570453407899,5.51065519650862,0,2.08447258277512,20.554622625803,21.3393481136481,,,,
