"CODE_IRIS","COM","DEP","LIBCOM","LIBIRIS","TRIRIS","GRD_QUART","TYP_IRIS","MODIF_IRIS","LAB_IRIS","P13_POP0024_tx","P13_POP1824_tx","P13_POP65P_tx","P13_POP75P_tx"
"751010105","75101","75","Paris 1er Arrondissement","Tuileries","750011","7510101","D","00","3",0,0,0,0
"751010104","75101","75","Paris 1er Arrondissement","Saint-Germain l'Auxerrois 4","750011","7510101","A","00","3",8.3,8.3,0,0
"751010199","75101","75","Paris 1er Arrondissement","Seine et Berges","750011","7510101","D","00","3",0,0,0,0
"751010402","75101","75","Paris 1er Arrondissement","Place Vendome 2","750011","7510104","A","00","2",21.6,9.4,20,11.5
"751010202","75101","75","Paris 1er Arrondissement","Les Halles 2","750021","7510102","H","00","1",20.8,8.8,15.8,7.7
"751010201","75101","75","Paris 1er Arrondissement","Les Halles 1","750021","7510102","H","00","1",22,11.4,10.5,5.2
"751010303","75101","75","Paris 1er Arrondissement","Palais Royal 3","750011","7510103","A","00","3",24.7,4.3,18.8,10.4
"751010401","75101","75","Paris 1er Arrondissement","Place Vendome 1","750011","7510104","H","00","1",24.7,9.6,22.1,9.8
"751010103","75101","75","Paris 1er Arrondissement","Saint-Germain l'Auxerrois 3","750011","7510101","A","00","3",23.5,13.1,14.8,8.9
"751010204","75101","75","Paris 1er Arrondissement","Les Halles 4","750021","7510102","H","00","2",25.1,8.2,13.6,7.1
"751010302","75101","75","Paris 1er Arrondissement","Palais Royal 2","750011","7510103","A","00","3",32,18.6,5.2,0
"751010101","75101","75","Paris 1er Arrondissement","Saint-Germain l'Auxerrois 1","750011","7510101","H","00","1",22.8,10.1,17.1,7.7
"751010102","75101","75","Paris 1er Arrondissement","Saint-Germain l'Auxerrois 2","750011","7510101","A","00","3",13.5,9.2,38.9,17.8
"751010205","75101","75","Paris 1er Arrondissement","Les Halles 5","750021","7510102","A","00","3",0,0,0,0
"751010206","75101","75","Paris 1er Arrondissement","Les Halles 6","750021","7510102","A","00","3",18.6,7.1,18.4,10.1
"751010203","75101","75","Paris 1er Arrondissement","Les Halles 3","750021","7510102","H","00","1",24.7,11.1,16.7,7.8
"751010301","75101","75","Paris 1er Arrondissement","Palais Royal 1","750011","7510103","H","00","1",23.2,11.2,21,11.5
"751020503","75102","75","Paris 2e Arrondissement","Gaillon 3","750031","7510205","A","00","3",36.9,17.1,5.4,2.7
"751020701","75102","75","Paris 2e Arrondissement","Mail 1","750041","7510207","H","00","1",22.5,9.2,14.6,7.6
"751020803","75102","75","Paris 2e Arrondissement","Bonne Nouvelle 3","750051","7510208","H","00","1",21.3,10,17.5,8.6
"751020502","75102","75","Paris 2e Arrondissement","Gaillon 2","750031","7510205","A","00","3",19.9,8,16.1,6.8
"751020804","75102","75","Paris 2e Arrondissement","Bonne Nouvelle 4","750051","7510208","H","00","1",27,16.3,5.9,2.4
"751020702","75102","75","Paris 2e Arrondissement","Mail 2","750041","7510207","H","00","1",26.4,11.9,11,4.1
"751020602","75102","75","Paris 2e Arrondissement","Vivienne 2","750031","7510206","A","00","2",22.9,8.7,13.1,7.1
"751020501","75102","75","Paris 2e Arrondissement","Gaillon 1","750031","7510205","A","00","3",34.6,18.1,9.8,5.1
"751020805","75102","75","Paris 2e Arrondissement","Bonne Nouvelle 5","750051","7510208","H","00","1",25.9,11.9,7.5,4.7
"751020703","75102","75","Paris 2e Arrondissement","Mail 3","750041","7510207","H","00","1",27.7,9.8,8.1,2.2
"751020601","75102","75","Paris 2e Arrondissement","Vivienne 1","750031","7510206","H","00","1",30.7,11,9.1,3.6
"751020802","75102","75","Paris 2e Arrondissement","Bonne Nouvelle 2","750051","7510208","H","00","1",22.6,12.1,9.4,3.6
"751020704","75102","75","Paris 2e Arrondissement","Mail 4","750031","7510207","A","00","3",29.4,12.5,6.4,3.2
"751020801","75102","75","Paris 2e Arrondissement","Bonne Nouvelle 1","750051","7510208","H","00","1",27,12.9,5.9,2.3
"751030904","75103","75","Paris 3e Arrondissement","Arts et Metiers 4","750061","7510309","H","00","2",23.4,11.2,12.5,4.8
"751031202","75103","75","Paris 3e Arrondissement","Sainte-Avoye 2","750091","7510312","H","00","1",23.1,10,9.5,3.2
"751031201","75103","75","Paris 3e Arrondissement","Sainte-Avoye 1","750091","7510312","H","00","1",23.7,10.3,13,6.3
"751031204","75103","75","Paris 3e Arrondissement","Sainte-Avoye 4","750091","7510312","H","00","1",25,12.4,8.9,4.4
"751031103","75103","75","Paris 3e Arrondissement","Les Archives 3","750081","7510311","H","00","1",18.7,9,24,12.1
"751030903","75103","75","Paris 3e Arrondissement","Arts et Metiers 3","750061","7510309","H","00","2",22.7,8.4,10.4,3.8
"751031203","75103","75","Paris 3e Arrondissement","Sainte-Avoye 3","750091","7510312","H","00","1",22.5,8.6,16.3,7.4
"751030905","75103","75","Paris 3e Arrondissement","Arts et Metiers 5","750061","7510309","H","00","2",25.6,12,12.7,5.6
"751030901","75103","75","Paris 3e Arrondissement","Arts et Metiers 1","750061","7510309","H","00","1",27.9,11.9,7.7,2.4
"751031104","75103","75","Paris 3e Arrondissement","Les Archives 4","750081","7510311","H","00","1",24.3,9.3,14,6.1
"751031002","75103","75","Paris 3e Arrondissement","Enfants Rouges 2","750071","7510310","H","00","1",21.9,9.8,15.5,6.9
"751030902","75103","75","Paris 3e Arrondissement","Arts et Metiers 2","750061","7510309","H","00","1",24.4,14.8,9.3,3
"751031101","75103","75","Paris 3e Arrondissement","Les Archives 1","750081","7510311","H","00","1",25.3,8.2,12.8,4.3
"751031102","75103","75","Paris 3e Arrondissement","Les Archives 2","750081","7510311","H","00","2",23,10.6,20.8,9.2
"751031004","75103","75","Paris 3e Arrondissement","Enfants Rouges 4","750071","7510310","H","00","1",25.6,10,10.5,5.6
"751031001","75103","75","Paris 3e Arrondissement","Enfants Rouges 1","750071","7510310","H","00","1",26.1,9.6,9.8,4.9
"751031003","75103","75","Paris 3e Arrondissement","Enfants Rouges 3","750071","7510310","H","00","1",23.8,11.2,11.4,3.7
"751041502","75104","75","Paris 4e Arrondissement","Arsenal 2","750111","7510415","H","00","1",20.2,8.7,23.3,9.3
"751041301","75104","75","Paris 4e Arrondissement","Saint-Merri 1","750131","7510413","H","00","2",25.5,10.1,14.6,6.6
"751041501","75104","75","Paris 4e Arrondissement","Arsenal 1","750111","7510415","H","00","1",32.7,10.6,13.4,6.6
"751041503","75104","75","Paris 4e Arrondissement","Arsenal 3","750111","7510415","H","00","1",26.5,9.5,16.3,9.3
"751041303","75104","75","Paris 4e Arrondissement","Saint-Merri 3","750131","7510413","H","00","2",24.6,13.1,12.5,4.5
"751041504","75104","75","Paris 4e Arrondissement","Arsenal 4","750111","7510415","H","00","1",21.3,12.3,19.5,6.7
"751041302","75104","75","Paris 4e Arrondissement","Saint-Merri 2","750131","7510413","H","00","1",22.2,9.9,14.4,7.2
"751041588","75104","75","Paris 4e Arrondissement","Bassin de l'Arsenal","750111","7510415","D","00","3",0,0,0,0
"751041499","75104","75","Paris 4e Arrondissement","Seine et Berges","750101","7510414","D","00","3",0,0,0,0
"751041404","75104","75","Paris 4e Arrondissement","Saint-Gervais 4","750101","7510414","H","00","1",25.9,12.3,13.5,6
"751041602","75104","75","Paris 4e Arrondissement","Notre Dame 2","750121","7510416","H","00","2",20.2,11.2,27.9,17.4
"751041402","75104","75","Paris 4e Arrondissement","Saint-Gervais 2","750101","7510414","H","00","1",22.3,12.9,16.2,7.7
"751041403","75104","75","Paris 4e Arrondissement","Saint-Gervais 3","750101","7510414","H","00","1",23.7,11.2,12.7,5.6
"751041601","75104","75","Paris 4e Arrondissement","Notre Dame 1","750121","7510416","H","00","1",24.1,13.6,25.4,12.8
"751041304","75104","75","Paris 4e Arrondissement","Saint-Merri 4","750121","7510413","A","00","3",26.4,15.2,13.2,3.7
"751041603","75104","75","Paris 4e Arrondissement","Notre Dame 3","750121","7510416","A","00","3",40.2,14.1,7.6,6.5
"751041699","75104","75","Paris 4e Arrondissement","Seine et Berges","750121","7510416","D","00","3",0,0,0,0
"751041401","75104","75","Paris 4e Arrondissement","Saint-Gervais 1","750101","7510414","H","00","1",25.7,12.2,18.2,10.2
"751041305","75104","75","Paris 4e Arrondissement","Saint-Merri 5","750131","7510413","A","00","3",0,0,0,0
"751041399","75104","75","Paris 4e Arrondissement","Seine et Berges","750121","7510413","D","00","3",0,0,0,0
"751041599","75104","75","Paris 4e Arrondissement","Seine et Berges","750111","7510415","D","00","3",0,0,0,0
"751051904","75105","75","Paris 5e Arrondissement","Val de Grace 4","750191","7510519","H","00","2",43.4,28.2,16.1,9.8
"751051802","75105","75","Paris 5e Arrondissement","Jardin des Plantes 2","750181","7510518","H","00","2",25.2,10.9,20.4,11.8
"751051706","75105","75","Paris 5e Arrondissement","Saint-Victor 6","750141","7510517","A","00","3",4.8,0,9.5,4.8
"751051903","75105","75","Paris 5e Arrondissement","Val de Grace 3","750191","7510519","H","00","1",36,18.2,16.2,7.3
"751051705","75105","75","Paris 5e Arrondissement","Saint-Victor 5","750141","7510517","H","00","1",20.2,6.6,24.2,11.7
"751051803","75105","75","Paris 5e Arrondissement","Jardin des Plantes 3","750181","7510518","H","00","1",27.6,14.2,20.1,9.6
"751051799","75105","75","Paris 5e Arrondissement","Seine et berges","750141","7510517","D","00","3",10,10,2.9,0
"751051801","75105","75","Paris 5e Arrondissement","Jardin des Plantes 1","750161","7510518","H","00","1",27.6,14.4,16.7,7.3
"751051901","75105","75","Paris 5e Arrondissement","Val de Grace 1","750191","7510519","H","00","1",30.6,19.1,18.6,8.9
"751051704","75105","75","Paris 5e Arrondissement","Saint-Victor 4","750141","7510517","H","00","1",29.1,13.5,16.4,8.6
"751052005","75105","75","Paris 5e Arrondissement","Sorbonne 5","750211","7510520","A","00","3",61.1,51.8,3.6,0.5
"751051902","75105","75","Paris 5e Arrondissement","Val de Grace 2","750191","7510519","H","00","1",28.5,16.7,19.1,9.7
"751051701","75105","75","Paris 5e Arrondissement","Saint-Victor 1","750151","7510517","H","00","1",30,15.5,13.4,6.5
"751051702","75105","75","Paris 5e Arrondissement","Saint-Victor 2","750151","7510517","H","00","1",29.1,17.2,13.2,3.7
"751051703","75105","75","Paris 5e Arrondissement","Saint-Victor 3","750151","7510517","H","00","1",36,17,11.5,5.7
"751052099","75105","75","Paris 5e Arrondissement","Seine et berges","750221","7510520","D","00","3",0,0,0,0
"751051899","75105","75","Paris 5e Arrondissement","Seine et berges","750161","7510518","D","00","3",0,0,0,0
"751052002","75105","75","Paris 5e Arrondissement","Sorbonne 2","750211","7510520","H","00","2",33.4,18.1,17.9,7.4
"751052003","75105","75","Paris 5e Arrondissement","Sorbonne 3","750221","7510520","H","00","1",28.8,19.9,12.5,8.3
"751051905","75105","75","Paris 5e Arrondissement","Val de Grace 5","750201","7510519","H","00","1",37.2,20.9,17.2,8.2
"751051804","75105","75","Paris 5e Arrondissement","Jardin des Plantes 4","750181","7510518","H","00","1",27.1,14.2,22.7,12.4
"751051805","75105","75","Paris 5e Arrondissement","Jardin des Plantes 5","750161","7510518","H","00","1",24.6,10.9,23,11
"751051806","75105","75","Paris 5e Arrondissement","Jardin des Plantes 6","750171","7510518","H","00","1",27.3,14.6,21.2,11.3
"751051809","75105","75","Paris 5e Arrondissement","Jardin des Plantes","750161","7510518","D","00","3",0,0,0,0
"751051808","75105","75","Paris 5e Arrondissement","Jardin des Plantes 8","750171","7510518","H","00","1",30.2,11.1,20.8,11.1
"751051907","75105","75","Paris 5e Arrondissement","Val de Grace 7","750201","7510519","H","00","2",40.6,28,17.8,10.6
"751051908","75105","75","Paris 5e Arrondissement","Val de Grace 8","750201","7510519","H","00","1",30.4,19.3,17,8.4
"751052004","75105","75","Paris 5e Arrondissement","Sorbonne 4","750221","7510520","H","00","1",27.9,12.8,18.2,8.1
"751051906","75105","75","Paris 5e Arrondissement","Val de Grace 6","750201","7510519","H","00","1",29.4,16.5,23,10.7
"751051807","75105","75","Paris 5e Arrondissement","Jardin des Plantes 7","750171","7510518","H","00","1",28.5,13.9,14.4,7.4
"751052001","75105","75","Paris 5e Arrondissement","Sorbonne 1","750211","7510520","H","00","1",37.6,25.5,13.7,6.6
"751062310","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 10","750271","7510623","H","00","2",31.4,14.5,21.8,11.1
"751062311","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 11","750271","7510623","H","00","2",27.4,10.7,24.3,12.5
"751062102","75106","75","Paris 6e Arrondissement","Monnaie 2","750231","7510621","H","00","1",23.9,15.2,19.9,8.2
"751062309","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 9","750271","7510623","H","00","1",27.1,18,24.5,14.2
"751062307","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 7","750261","7510623","H","00","1",29.1,12.8,22,9.8
"751062201","75106","75","Paris 6e Arrondissement","Odeon 1","750241","7510622","H","00","1",35,15.3,23.3,11.8
"751062103","75106","75","Paris 6e Arrondissement","Monnaie 3","750231","7510621","H","00","1",22.9,11.6,20.4,10.2
"751062202","75106","75","Paris 6e Arrondissement","Odeon 2","750241","7510622","H","00","2",28.4,10.1,22.5,11.1
"751062199","75106","75","Paris 6e Arrondissement","Seine et Berges","750231","7510621","D","00","3",0,0,0,0
"751062308","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 8","750261","7510623","H","00","1",26.9,15.5,22.3,13.9
"751062305","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 5","750251","7510623","H","00","1",40.4,27.1,19.8,11.5
"751062306","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 6","750261","7510623","H","00","1",25.9,9.4,16.4,9
"751062101","75106","75","Paris 6e Arrondissement","Monnaie 1","750231","7510621","H","00","1",28.6,17.1,15.4,8.6
"751062302","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 2","750251","7510623","H","00","1",36.7,21.4,18.1,8.6
"751062303","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 3","750251","7510623","H","00","2",26.5,15.4,28.7,17.1
"751062304","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 4","750271","7510623","H","00","1",31.2,13.5,23.8,13
"751062205","75106","75","Paris 6e Arrondissement","Jardin du Luxembourg","750241","7510622","D","00","3",39.1,15.9,0,0
"751062301","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 1","750251","7510623","H","00","2",27.3,13,26.4,12.5
"751062402","75106","75","Paris 6e Arrondissement","Saint-Germain des Pres 2","750281","7510624","H","00","1",23,10.4,29,13.5
"751062204","75106","75","Paris 6e Arrondissement","Odeon 4","750241","7510622","H","00","1",35.6,24.5,16.6,8.4
"751062203","75106","75","Paris 6e Arrondissement","Odeon 3","750241","7510622","H","00","2",26.6,16.1,16,6.7
"751062401","75106","75","Paris 6e Arrondissement","Saint-Germain des Pres 1","750281","7510624","H","00","2",25.9,13.6,20.7,10.5
"751062499","75106","75","Paris 6e Arrondissement","Seine et Berges","750281","7510624","D","00","3",0,0,0,0
"751072703","75107","75","Paris 7e Arrondissement","Ecole Militaire 3","750331","7510727","H","00","2",32.8,12.2,20.9,9.8
"751072506","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 6","750301","7510725","H","00","1",27.8,14.5,23.6,11.7
"751072810","75107","75","Paris 7e Arrondissement","Gros Caillou 10","750361","7510728","H","00","1",29.8,15,15.4,7.9
"751072507","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 7","750311","7510725","A","00","3",0,0,0,0
