"CODE_IRIS","COM","DEP","LIBCOM","LIBIRIS","TRIRIS","GRD_QUART","TYP_IRIS","MODIF_IRIS","LAB_IRIS","C13_POP15P_CS7_tx","P13_ACT1564_tx","P13_CHOM1564_tx","P13_ETUD1564_tx","P13_ACT1524_tx","P13_CHOM1524_tx","P13_SAL15P_CDD_tx","P13_SAL15P_INTERIM_tx"
"751010105","75101","75","Paris 1er Arrondissement","Tuileries","750011","7510101","D","00","3",0,0,0,0,0,0,0,0
"751010104","75101","75","Paris 1er Arrondissement","Saint-Germain l'Auxerrois 4","750011","7510101","A","00","3",0,91.7,9.1,0,100,0,12.5,0
"751010199","75101","75","Paris 1er Arrondissement","Seine et Berges","750011","7510101","D","00","3",0,0,0,0,0,0,0,0
"751010402","75101","75","Paris 1er Arrondissement","Place Vendome 2","750011","7510104","A","00","2",20.4,80.8,8.5,11.6,35.2,12.5,8.4,1
"751010202","75101","75","Paris 1er Arrondissement","Les Halles 2","750021","7510102","H","00","1",17.6,82.8,7.1,9.6,36.8,10,9.1,0.4
"751010201","75101","75","Paris 1er Arrondissement","Les Halles 1","750021","7510102","H","00","1",12.3,83.8,12.2,8.9,53.1,12.8,14,0.7
"751010303","75101","75","Paris 1er Arrondissement","Palais Royal 3","750011","7510103","A","00","3",15.9,84,7.4,8.7,36,33.3,5.1,0
"751010401","75101","75","Paris 1er Arrondissement","Place Vendome 1","750011","7510104","H","00","1",19.9,84.3,10.3,9.1,47.9,14.7,16.6,0
"751010103","75101","75","Paris 1er Arrondissement","Saint-Germain l'Auxerrois 3","750011","7510101","A","00","3",16.2,67.6,6,19.9,25.5,30.8,4.6,3.1
"751010204","75101","75","Paris 1er Arrondissement","Les Halles 4","750021","7510102","H","00","2",16.7,78.3,11.1,12.1,24.9,24.6,12.9,1.1
"751010302","75101","75","Paris 1er Arrondissement","Palais Royal 2","750011","7510103","A","00","3",4.7,84,4.4,16,31.6,50,7.5,0
"751010101","75101","75","Paris 1er Arrondissement","Saint-Germain l'Auxerrois 1","750011","7510101","H","00","1",16.6,81.1,6.8,12.6,24.6,28.6,8.8,0.9
"751010102","75101","75","Paris 1er Arrondissement","Saint-Germain l'Auxerrois 2","750011","7510101","A","00","3",35.2,43.4,6.5,6.6,0,0,24.1,0
"751010205","75101","75","Paris 1er Arrondissement","Les Halles 5","750021","7510102","A","00","3",0,0,0,0,0,0,0,0
"751010206","75101","75","Paris 1er Arrondissement","Les Halles 6","750021","7510102","A","00","3",14.7,80,17.9,12,29.5,44.4,20.5,1.3
"751010203","75101","75","Paris 1er Arrondissement","Les Halles 3","750021","7510102","H","00","1",18.8,81.8,9.9,11.4,41.9,16.8,11.3,0.2
