"CODE_IRIS","COM","DEP","LIBCOM","LIBIRIS","TRIRIS","GRD_QUART","TYP_IRIS","MODIF_IRIS","LAB_IRIS","DEC_TP6013","DEC_MED13"
"751010105","75101","75","Paris 1er Arrondissement","Tuileries","750011","7510101","D","00","3",,
"751010104","75101","75","Paris 1er Arrondissement","Saint-Germain l'Auxerrois 4","750011","7510101","A","00","3",,
"751010199","75101","75","Paris 1er Arrondissement","Seine et Berges","750011","7510101","D","00","3",,
"751010402","75101","75","Paris 1er Arrondissement","Place Vendome 2","750011","7510104","A","00","2",,
"751010202","75101","75","Paris 1er Arrondissement","Les Halles 2","750021","7510102","H","00","1","",36026
"751010201","75101","75","Paris 1er Arrondissement","Les Halles 1","750021","7510102","H","00","1","17,4",28548
"751010303","75101","75","Paris 1er Arrondissement","Palais Royal 3","750011","7510103","A","00","3",,
"751010401","75101","75","Paris 1er Arrondissement","Place Vendome 1","750011","7510104","H","00","1","",41462
"751010103","75101","75","Paris 1er Arrondissement","Saint-Germain l'Auxerrois 3","750011","7510101","A","00","3",,
"751010204","75101","75","Paris 1er Arrondissement","Les Halles 4","750021","7510102","H","00","2","14,3",34044
"751010302","75101","75","Paris 1er Arrondissement","Palais Royal 2","750011","7510103","A","00","3",,
"751010101","75101","75","Paris 1er Arrondissement","Saint-Germain l'Auxerrois 1","750011","7510101","H","00","1",,
"751010102","75101","75","Paris 1er Arrondissement","Saint-Germain l'Auxerrois 2","750011","7510101","A","00","3",,
"751010205","75101","75","Paris 1er Arrondissement","Les Halles 5","750021","7510102","A","00","3",,
"751010206","75101","75","Paris 1er Arrondissement","Les Halles 6","750021","7510102","A","00","3",,
"751010203","75101","75","Paris 1er Arrondissement","Les Halles 3","750021","7510102","H","00","1","12,6",33854
"751010301","75101","75","Paris 1er Arrondissement","Palais Royal 1","750011","7510103","H","00","1","12,8",36066
"751020503","75102","75","Paris 2e Arrondissement","Gaillon 3","750031","7510205","A","00","3",,
"751020701","75102","75","Paris 2e Arrondissement","Mail 1","750041","7510207","H","00","1","16,3",33940
"751020803","75102","75","Paris 2e Arrondissement","Bonne Nouvelle 3","750051","7510208","H","00","1","20,3",28250
"751020502","75102","75","Paris 2e Arrondissement","Gaillon 2","750031","7510205","A","00","3",,
"751020804","75102","75","Paris 2e Arrondissement","Bonne Nouvelle 4","750051","7510208","H","00","1","25,2",25432
"751020702","75102","75","Paris 2e Arrondissement","Mail 2","750041","7510207","H","00","1","14,2",32930
"751020602","75102","75","Paris 2e Arrondissement","Vivienne 2","750031","7510206","A","00","2",,
"751020501","75102","75","Paris 2e Arrondissement","Gaillon 1","750031","7510205","A","00","3",,
"751020805","75102","75","Paris 2e Arrondissement","Bonne Nouvelle 5","750051","7510208","H","00","1","25,4",24574
"751020703","75102","75","Paris 2e Arrondissement","Mail 3","750041","7510207","H","00","1","16,9",32734
"751020601","75102","75","Paris 2e Arrondissement","Vivienne 1","750031","7510206","H","00","1","",38094
"751020802","75102","75","Paris 2e Arrondissement","Bonne Nouvelle 2","750051","7510208","H","00","1","14,1",32200
"751020704","75102","75","Paris 2e Arrondissement","Mail 4","750031","7510207","A","00","3",,
"751020801","75102","75","Paris 2e Arrondissement","Bonne Nouvelle 1","750051","7510208","H","00","1","30,5",22656
"751030904","75103","75","Paris 3e Arrondissement","Arts et Metiers 4","750061","7510309","H","00","2","26,5",25650
"751031202","75103","75","Paris 3e Arrondissement","Sainte-Avoye 2","750091","7510312","H","00","1","13,7",33138
"751031201","75103","75","Paris 3e Arrondissement","Sainte-Avoye 1","750091","7510312","H","00","1","19,4",32070
"751031204","75103","75","Paris 3e Arrondissement","Sainte-Avoye 4","750091","7510312","H","00","1","22,2",27274
"751031103","75103","75","Paris 3e Arrondissement","Les Archives 3","750081","7510311","H","00","1","13,8",36918
"751030903","75103","75","Paris 3e Arrondissement","Arts et Metiers 3","750061","7510309","H","00","2","16,2",32618
"751031203","75103","75","Paris 3e Arrondissement","Sainte-Avoye 3","750091","7510312","H","00","1","15,9",28422
"751030905","75103","75","Paris 3e Arrondissement","Arts et Metiers 5","750061","7510309","H","00","2","",28882
"751030901","75103","75","Paris 3e Arrondissement","Arts et Metiers 1","750061","7510309","H","00","1","20,2",28612
"751031104","75103","75","Paris 3e Arrondissement","Les Archives 4","750081","7510311","H","00","1","11,6",36624
"751031002","75103","75","Paris 3e Arrondissement","Enfants Rouges 2","750071","7510310","H","00","1","13,5",35102
"751030902","75103","75","Paris 3e Arrondissement","Arts et Metiers 2","750061","7510309","H","00","1","19,4",29917
"751031101","75103","75","Paris 3e Arrondissement","Les Archives 1","750081","7510311","H","00","1","14,4",36344
"751031102","75103","75","Paris 3e Arrondissement","Les Archives 2","750081","7510311","H","00","2","",39388
"751031004","75103","75","Paris 3e Arrondissement","Enfants Rouges 4","750071","7510310","H","00","1","11,9",35582
"751031001","75103","75","Paris 3e Arrondissement","Enfants Rouges 1","750071","7510310","H","00","1","19,1",30362
"751031003","75103","75","Paris 3e Arrondissement","Enfants Rouges 3","750071","7510310","H","00","1","15,1",35802
"751041502","75104","75","Paris 4e Arrondissement","Arsenal 2","750111","7510415","H","00","1","",38208
"751041301","75104","75","Paris 4e Arrondissement","Saint-Merri 1","750131","7510413","H","00","2","16,3",31754
"751041501","75104","75","Paris 4e Arrondissement","Arsenal 1","750111","7510415","H","00","1","12,6",30192
"751041503","75104","75","Paris 4e Arrondissement","Arsenal 3","750111","7510415","H","00","1","",37870
"751041303","75104","75","Paris 4e Arrondissement","Saint-Merri 3","750131","7510413","H","00","2","19,6",29696
"751041504","75104","75","Paris 4e Arrondissement","Arsenal 4","750111","7510415","H","00","1","14,3",33870
"751041302","75104","75","Paris 4e Arrondissement","Saint-Merri 2","750131","7510413","H","00","1","15,5",32492
"751041588","75104","75","Paris 4e Arrondissement","Bassin de l'Arsenal","750111","7510415","D","00","3",,
"751041499","75104","75","Paris 4e Arrondissement","Seine et Berges","750101","7510414","D","00","3",,
"751041404","75104","75","Paris 4e Arrondissement","Saint-Gervais 4","750101","7510414","H","00","1","15,9",30580
"751041602","75104","75","Paris 4e Arrondissement","Notre Dame 2","750121","7510416","H","00","2",,
"751041402","75104","75","Paris 4e Arrondissement","Saint-Gervais 2","750101","7510414","H","00","1","14,3",31018
"751041403","75104","75","Paris 4e Arrondissement","Saint-Gervais 3","750101","7510414","H","00","1","17,1",30829
"751041601","75104","75","Paris 4e Arrondissement","Notre Dame 1","750121","7510416","H","00","1","13,8",39694
"751041304","75104","75","Paris 4e Arrondissement","Saint-Merri 4","750121","7510413","A","00","3",,
"751041603","75104","75","Paris 4e Arrondissement","Notre Dame 3","750121","7510416","A","00","3",,
"751041699","75104","75","Paris 4e Arrondissement","Seine et Berges","750121","7510416","D","00","3",,
"751041401","75104","75","Paris 4e Arrondissement","Saint-Gervais 1","750101","7510414","H","00","1","22,7",25161
"751041305","75104","75","Paris 4e Arrondissement","Saint-Merri 5","750131","7510413","A","00","3",,
"751041399","75104","75","Paris 4e Arrondissement","Seine et Berges","750121","7510413","D","00","3",,
"751041599","75104","75","Paris 4e Arrondissement","Seine et Berges","750111","7510415","D","00","3",,
"751051904","75105","75","Paris 5e Arrondissement","Val de Grace 4","750191","7510519","H","00","2","",43948
"751051802","75105","75","Paris 5e Arrondissement","Jardin des Plantes 2","750181","7510518","H","00","2","13,5",31864
"751051706","75105","75","Paris 5e Arrondissement","Saint-Victor 6","750141","7510517","A","00","3",,
"751051903","75105","75","Paris 5e Arrondissement","Val de Grace 3","750191","7510519","H","00","1","12,1",37060
"751051705","75105","75","Paris 5e Arrondissement","Saint-Victor 5","750141","7510517","H","00","1","13,9",37403
"751051803","75105","75","Paris 5e Arrondissement","Jardin des Plantes 3","750181","7510518","H","00","1","11,5",35508
"751051799","75105","75","Paris 5e Arrondissement","Seine et berges","750141","7510517","D","00","3",,
"751051801","75105","75","Paris 5e Arrondissement","Jardin des Plantes 1","750161","7510518","H","00","1","",34930
"751051901","75105","75","Paris 5e Arrondissement","Val de Grace 1","750191","7510519","H","00","1","12,1",35573
"751051704","75105","75","Paris 5e Arrondissement","Saint-Victor 4","750141","7510517","H","00","1","9,7",35308
"751052005","75105","75","Paris 5e Arrondissement","Sorbonne 5","750211","7510520","A","00","3",,
"751051902","75105","75","Paris 5e Arrondissement","Val de Grace 2","750191","7510519","H","00","1","",37723
"751051701","75105","75","Paris 5e Arrondissement","Saint-Victor 1","750151","7510517","H","00","1","15,1",31921
"751051702","75105","75","Paris 5e Arrondissement","Saint-Victor 2","750151","7510517","H","00","1","",34092
"751051703","75105","75","Paris 5e Arrondissement","Saint-Victor 3","750151","7510517","H","00","1","10,3",30094
"751052099","75105","75","Paris 5e Arrondissement","Seine et berges","750221","7510520","D","00","3",,
"751051899","75105","75","Paris 5e Arrondissement","Seine et berges","750161","7510518","D","00","3",,
