"CODE_IRIS","COM","DEP","LIBCOM","LIBIRIS","TRIRIS","GRD_QUART","TYP_IRIS","MODIF_IRIS","LAB_IRIS","P13_POP","P13_POP0024_CALC","P13_POP1824","P13_POP65P","P13_POP0014","P13_POP1529","P13_POP3044","P13_POP4559","P13_POP6074","P13_POP75P"
"751010105","75101","75","Paris 1er Arrondissement","Tuileries","750011","7510101","D","00","3",0,0,0,0,0,0,0,0,0,0
"751010104","75101","75","Paris 1er Arrondissement","Saint-Germain l'Auxerrois 4","750011","7510101","A","00","3",12,1,1,0,0,4,2,5,1,0
"751010199","75101","75","Paris 1er Arrondissement","Seine et Berges","750011","7510101","D","00","3",0,0,0,0,0,0,0,0,0,0
"751010402","75101","75","Paris 1er Arrondissement","Place Vendome 2","750011","7510104","A","00","2",1483,320,140,296,138,344,369,246,215,171
"751010202","75101","75","Paris 1er Arrondissement","Les Halles 2","750021","7510102","H","00","1",1629,339,143,257,176,347,448,307,225,126
"751010201","75101","75","Paris 1er Arrondissement","Les Halles 1","750021","7510102","H","00","1",2350,517,268,246,209,652,696,435,235,123
"751010303","75101","75","Paris 1er Arrondissement","Palais Royal 3","750011","7510103","A","00","3",442,109,19,83,85,59,110,76,67,46
"751010401","75101","75","Paris 1er Arrondissement","Place Vendome 1","750011","7510104","H","00","1",1322,327,127,292,185,284,259,264,202,129
"751010103","75101","75","Paris 1er Arrondissement","Saint-Germain l'Auxerrois 3","750011","7510101","A","00","3",358,84,47,53,33,81,51,98,63,32
"751010204","75101","75","Paris 1er Arrondissement","Les Halles 4","750021","7510102","H","00","2",2348,590,193,320,329,500,609,522,219,167
"751010302","75101","75","Paris 1er Arrondissement","Palais Royal 2","750011","7510103","A","00","3",97,31,18,5,11,26,25,17,18,0
"751010101","75101","75","Paris 1er Arrondissement","Saint-Germain l'Auxerrois 1","750011","7510101","H","00","1",936,213,95,160,100,254,209,171,131,72
"751010102","75101","75","Paris 1er Arrondissement","Saint-Germain l'Auxerrois 2","750011","7510101","A","00","3",185,25,17,72,8,22,28,40,54,33
"751010205","75101","75","Paris 1er Arrondissement","Les Halles 5","750021","7510102","A","00","3",0,0,0,0,0,0,0,0,0,0
"751010206","75101","75","Paris 1er Arrondissement","Les Halles 6","750021","7510102","A","00","3",576,107,41,106,45,131,168,105,69,58
